Ticker,Accuracy,Precision,Recall
MSFT,0.4649,0.4673,0.9259
NVDA,0.4825,0.5,0.3559
AAPL,0.5614,0.5588,0.6552
AMZN,0.5,0.5814,0.3906
GOOG,0.4912,0.4706,0.2857
GOOGL,0.4649,0.4727,0.4483
META,0.4737,0.4819,0.7018
AVGO,0.5526,0.6,0.5323
TSLA,0.5,0.5,0.2281
WMT,0.4737,0.6667,0.0952
JPM,0.5439,0.6154,0.2759
LLY,0.5965,0.7273,0.1569
V,0.4825,0.4818,0.9636
MA,0.5351,0.5205,0.6786
ORCL,0.4649,0.3333,0.1509
NFLX,0.4211,0.4433,0.7818
XOM,0.4912,0.6875,0.1719
COST,0.4737,0.4706,0.4211
PG,0.4649,0.4688,0.5263
JNJ,0.4825,0.4737,0.3158
HD,0.4561,0.4318,0.3393
ABBV,0.6316,0.5797,0.7547
BAC,0.5965,0.6377,0.6769
PLTR,0.5263,0.5469,0.5833
KO,0.5351,0.7,0.1228
PM,0.5175,0.55,0.541
UNH,0.5789,0.5833,0.6034
TMUS,0.5439,0.5444,0.8167
IBM,0.4912,0.5238,0.541
GE,0.4737,0.4815,0.6842
CSCO,0.4298,0.5,0.4769
CRM,0.4912,0.4848,0.8727
CVX,0.4474,0.5263,0.1562
WFC,0.5,0.5641,0.3548
ABT,0.4912,0.4318,0.8261
LIN,0.4912,0.5814,0.3846
MCD,0.5263,0.4839,0.283
DIS,0.5263,0.5,0.3333
INTU,0.4649,0.4505,0.7885
MS,0.5,0.8,0.1818
AXP,0.5439,0.5833,0.4667
NOW,0.5088,0.5102,0.8621
T,0.5088,0.507,0.6316
MRK,0.4737,0.4706,0.2759
ACN,0.5,0.4638,0.6154
AMD,0.4298,0.4828,0.2188
RTX,0.5088,0.5088,1.0
GS,0.4211,0.8,0.058
ISRG,0.5526,0.5,0.451
